mes,N_casos,SEX_indef,SEX_masc,SEX_fem,RA_ndec,RA_branco,RA_negro,RA_amarelo,RA_pardo,RA_indigena,EP_ign,EP_sim,EP_nao,EM_ign,EM_sim,EM_nao,EPi_ign,EPi_sim,EPi_nao,EPni__ign,EPni_sim,EPni_nao,EXO_ign,EXO_sim,EXO_nao,MO_ign,MO_sangue,MO_liquor,MO_liquor_pleural,MO_liquor_ascite,MO_liq_amniotico,MO_fluido_sangue,MO_soro_plasma,MO_outros,FE_< 1 ano,FE_1_a_4,FE_5_a_14,FE_15_a_24,FE_25_a_34,FE_35_a_44,FE_45_a_54,FE_55_a_64,FE_65+,ZR_ign,ZR_urbana,ZR_rural,ZR_periurbana,CAT_ign,CAT_sim,CAT_nao,CAT_n_aplica
janeiro,"682,00","0,00","172,00","510,00","24,00","289,00","62,00","3,00","304,00","0,00","20,00","472,00","190,00","124,00","74,00","484,00","113,00","252,00","317,00","134,00","53,00","495,00","177,00","16,00","489,00","53,00","508,00","6,00","2,00","1,00","1,00","20,00","4,00","87,00","4,00","1,00","1,00","105,00","261,00","180,00","91,00","21,00","8,00","56,00","585,00","41,00","0,00","131,00","330,00","182,00","39,00"
fevereiro,"626,00","0,00","177,00","449,00","26,00","273,00","55,00","2,00","267,00","3,00","31,00","458,00","137,00","122,00","48,00","456,00","113,00","252,00","261,00","129,00","32,00","465,00","167,00","9,00","450,00","72,00","445,00","5,00","1,00","0,00","0,00","22,00","2,00","79,00","6,00","0,00","1,00","114,00","199,00","189,00","73,00","32,00","12,00","49,00","544,00","32,00","1,00","121,00","266,00","206,00","33,00"
marco,"572,00","0,00","155,00","417,00","28,00","274,00","49,00","5,00","215,00","1,00","45,00","393,00","134,00","141,00","55,00","376,00","102,00","233,00","237,00","150,00","27,00","395,00","192,00","10,00","370,00","59,00","423,00","1,00","0,00","1,00","0,00","16,00","2,00","70,00","5,00","0,00","0,00","97,00","197,00","168,00","74,00","23,00","7,00","61,00","475,00","32,00","4,00","120,00","249,00","158,00","45,00"
abril,"559,00","0,00","148,00","411,00","16,00","263,00","63,00","0,00","216,00","1,00","63,00","366,00","130,00","149,00","68,00","342,00","136,00","211,00","212,00","171,00","38,00","350,00","209,00","11,00","339,00","60,00","382,00","4,00","2,00","0,00","2,00","19,00","2,00","88,00","9,00","0,00","0,00","98,00","204,00","158,00","66,00","20,00","4,00","20,00","505,00","33,00","1,00","135,00","282,00","117,00","25,00"
maio,"698,00","0,00","181,00","517,00","13,00","328,00","75,00","5,00","275,00","2,00","51,00","404,00","243,00","163,00","91,00","444,00","143,00","204,00","351,00","172,00","37,00","489,00","208,00","80,00","410,00","66,00","406,00","3,00","2,00","1,00","0,00","23,00","1,00","196,00","3,00","0,00","1,00","108,00","246,00","208,00","95,00","34,00","3,00","56,00","607,00","34,00","1,00","164,00","295,00","194,00","45,00"
junho,"1.253,00","0,00","333,00","920,00","32,00","600,00","108,00","6,00","506,00","1,00","94,00","371,00","788,00","153,00","273,00","827,00","171,00","236,00","846,00","182,00","37,00","1.034,00","223,00","405,00","625,00","94,00","374,00","4,00","2,00","0,00","0,00","25,00","3,00","751,00","8,00","0,00","1,00","153,00","430,00","411,00","185,00","56,00","9,00","52,00","1.141,00","58,00","2,00","188,00","475,00","506,00","84,00"
julho,"1.643,00","0,00","428,00","1.215,00","65,00","768,00","140,00","12,00","656,00","2,00","172,00","378,00","1.093,00","241,00","396,00","1.006,00","230,00","339,00","1.074,00","247,00","91,00","1.305,00","181,00","659,00","803,00","121,00","396,00","2,00","2,00","0,00","1,00","20,00","2,00","1.099,00","20,00","0,00","1,00","203,00","524,00","509,00","281,00","91,00","14,00","52,00","1.498,00","90,00","3,00","227,00","746,00","548,00","122,00"
agosto,"1.524,00","0,00","398,00","1.126,00","41,00","668,00","126,00","16,00","670,00","3,00","136,00","452,00","936,00","245,00","249,00","1.030,00","245,00","283,00","996,00","272,00","45,00","1.207,00","286,00","610,00","628,00","117,00","399,00","11,00","4,00","0,00","2,00","25,00","1,00","965,00","6,00","0,00","0,00","179,00","505,00","480,00","275,00","70,00","9,00","64,00","1.366,00","92,00","2,00","284,00","566,00","516,00","58,00"
setembro,"1.424,00","0,00","353,00","1.071,00","32,00","723,00","107,00","19,00","541,00","2,00","135,00","435,00","854,00","190,00","220,00","1.014,00","201,00","369,00","854,00","216,00","34,00","1.174,00","219,00","475,00","730,00","99,00","436,00","5,00","1,00","0,00","2,00","23,00","2,00","856,00","14,00","1,00","0,00","185,00","474,00","437,00","237,00","60,00","16,00","85,00","1.290,00","43,00","6,00","249,00","533,00","526,00","116,00"
outubro,"1.032,00","0,00","247,00","785,00","48,00","488,00","79,00","7,00","410,00","0,00","115,00","403,00","514,00","191,00","193,00","648,00","205,00","346,00","481,00","234,00","23,00","775,00","241,00","275,00","516,00","80,00","427,00","2,00","1,00","0,00","0,00","24,00","0,00","498,00","15,00","0,00","0,00","140,00","326,00","337,00","152,00","53,00","9,00","63,00","931,00","37,00","1,00","191,00","418,00","388,00","35,00"
novembro,"1.114,00","0,00","279,00","835,00","21,00","426,00","73,00","21,00","573,00","0,00","107,00","351,00","656,00","175,00","397,00","542,00","182,00","284,00","648,00","207,00","33,00","874,00","205,00","219,00","690,00","86,00","365,00","4,00","2,00","0,00","0,00","19,00","0,00","638,00","6,00","0,00","1,00","147,00","383,00","364,00","161,00","46,00","6,00","67,00","1.013,00","33,00","1,00","188,00","449,00","400,00","77,00"
dezembro,"1.109,00","0,00","305,00","804,00","34,00","408,00","94,00","17,00","552,00","4,00","71,00","315,00","723,00","111,00","302,00","696,00","123,00","345,00","632,00","134,00","25,00","950,00","148,00","381,00","580,00","91,00","327,00","3,00","1,00","2,00","0,00","16,00","2,00","667,00","12,00","0,00","0,00","124,00","357,00","381,00","179,00","48,00","8,00","43,00","1.026,00","39,00","1,00","146,00","473,00","446,00","44,00"
