mes,N_casos,SEX_indef,SEX_masc,SEX_fem,RA_ndec,RA_branco,RA_negro,RA_amarelo,RA_pardo,RA_indigena,EP_ign,EP_sim,EP_nao,EM_ign,EM_sim,EM_nao,EPi_ign,EPi_sim,EPi_nao,EPni__ign,EPni_sim,EPni_nao,EXO_ign,EXO_sim,EXO_nao,MO_ign,MO_sangue,MO_liquor,MO_liquor_pleural,MO_liquor_ascite,MO_liq_amniotico,MO_fluido_sangue,MO_soro_plasma,MO_outros,FE_< 1 ano,FE_1_a_4,FE_5_a_14,FE_15_a_24,FE_25_a_34,FE_35_a_44,FE_45_a_54,FE_55_a_64,FE_65+,ZR_ign,ZR_urbana,ZR_rural,ZR_periurbana,CAT_ign,CAT_sim,CAT_nao,CAT_n_aplica
janeiro,"1.391,00","0,00","272,00","1.119,00","63,00","679,00","112,00","7,00","526,00","4,00","201,00","388,00","802,00","177,00","356,00","858,00","285,00","206,00","900,00","306,00","27,00","1.058,00","323,00","542,00","526,00","126,00","354,00","3,00","0,00","1,00","1,00","29,00","0,00","877,00","3,00","0,00","0,00","175,00","473,00","427,00","221,00","79,00","13,00","130,00","1.202,00","53,00","6,00","156,00","623,00","565,00","47,00"
fevereiro,"1.244,00","0,00","257,00","987,00","48,00","546,00","84,00","5,00","560,00","1,00","112,00","432,00","700,00","205,00","266,00","773,00","182,00","315,00","747,00","219,00","33,00","992,00","235,00","466,00","543,00","104,00","429,00","5,00","5,00","0,00","0,00","16,00","3,00","682,00","2,00","0,00","0,00","171,00","399,00","394,00","192,00","75,00","11,00","55,00","1.132,00","54,00","3,00","215,00","452,00","545,00","32,00"
marco,"1.024,00","0,00","244,00","780,00","86,00","398,00","79,00","3,00","456,00","2,00","100,00","572,00","352,00","209,00","156,00","659,00","182,00","370,00","472,00","225,00","70,00","729,00","268,00","144,00","612,00","77,00","602,00","5,00","2,00","1,00","4,00","35,00","3,00","295,00","4,00","0,00","1,00","191,00","327,00","295,00","158,00","39,00","9,00","77,00","906,00","40,00","1,00","199,00","516,00","277,00","32,00"
abril,"749,00","0,00","201,00","548,00","52,00","327,00","71,00","6,00","293,00","0,00","71,00","461,00","217,00","173,00","85,00","491,00","148,00","258,00","343,00","190,00","38,00","521,00","225,00","77,00","447,00","77,00","478,00","1,00","0,00","0,00","0,00","29,00","1,00","169,00","1,00","0,00","0,00","142,00","254,00","202,00","110,00","33,00","7,00","58,00","638,00","53,00","0,00","154,00","356,00","202,00","37,00"
maio,"914,00","0,00","199,00","715,00","52,00","428,00","80,00","3,00","348,00","3,00","53,00","585,00","276,00","162,00","102,00","650,00","152,00","277,00","485,00","176,00","63,00","675,00","223,00","95,00","596,00","63,00","582,00","8,00","2,00","1,00","0,00","41,00","0,00","217,00","1,00","0,00","1,00","162,00","319,00","247,00","121,00","58,00","5,00","68,00","779,00","65,00","2,00","201,00","405,00","252,00","56,00"
junho,"1.116,00","0,00","284,00","832,00","49,00","537,00","93,00","5,00","432,00","0,00","103,00","510,00","503,00","184,00","206,00","726,00","167,00","307,00","642,00","201,00","59,00","856,00","233,00","242,00","641,00","89,00","510,00","5,00","2,00","2,00","0,00","24,00","3,00","481,00","1,00","0,00","1,00","171,00","378,00","339,00","165,00","55,00","6,00","77,00","954,00","84,00","1,00","205,00","454,00","404,00","53,00"
julho,"1.015,00","0,00","213,00","802,00","44,00","461,00","77,00","10,00","422,00","1,00","79,00","534,00","402,00","158,00","166,00","691,00","135,00","311,00","569,00","171,00","53,00","791,00","263,00","190,00","562,00","90,00","515,00","5,00","0,00","1,00","0,00","28,00","0,00","376,00","1,00","0,00","1,00","154,00","372,00","270,00","138,00","63,00","16,00","69,00","887,00","58,00","1,00","217,00","448,00","303,00","47,00"
agosto,"1.003,00","0,00","255,00","748,00","55,00","465,00","86,00","1,00","395,00","1,00","68,00","556,00","379,00","160,00","108,00","735,00","141,00","335,00","527,00","183,00","52,00","768,00","263,00","216,00","524,00","68,00","567,00","1,00","0,00","1,00","1,00","43,00","8,00","314,00","3,00","0,00","2,00","174,00","332,00","271,00","142,00","56,00","23,00","76,00","872,00","52,00","3,00","206,00","381,00","368,00","48,00"
setembro,"797,00","0,00","197,00","600,00","47,00","352,00","104,00","4,00","290,00","0,00","73,00","497,00","227,00","149,00","103,00","545,00","143,00","258,00","396,00","173,00","55,00","569,00","235,00","56,00","506,00","70,00","533,00","6,00","4,00","0,00","1,00","39,00","3,00","141,00","3,00","1,00","1,00","174,00","277,00","214,00","74,00","45,00","8,00","49,00","710,00","38,00","0,00","193,00","361,00","189,00","54,00"
outubro,"733,00","0,00","181,00","552,00","44,00","343,00","58,00","3,00","282,00","3,00","101,00","461,00","171,00","161,00","76,00","496,00","157,00","211,00","365,00","174,00","50,00","509,00","198,00","72,00","463,00","92,00","488,00","3,00","3,00","0,00","1,00","27,00","3,00","116,00","0,00","0,00","1,00","143,00","233,00","201,00","103,00","39,00","13,00","32,00","661,00","38,00","2,00","154,00","345,00","203,00","31,00"
novembro,"1.035,00","0,00","230,00","805,00","82,00","445,00","86,00","4,00","416,00","2,00","130,00","514,00","391,00","231,00","141,00","663,00","206,00","286,00","543,00","244,00","57,00","734,00","274,00","179,00","585,00","146,00","553,00","10,00","0,00","1,00","2,00","30,00","3,00","290,00","4,00","0,00","2,00","165,00","332,00","296,00","160,00","63,00","13,00","78,00","905,00","50,00","2,00","252,00","437,00","309,00","37,00"
dezembro,"1.127,00","0,00","237,00","890,00","88,00","525,00","110,00","8,00","395,00","1,00","138,00","422,00","567,00","193,00","201,00","733,00","174,00","305,00","648,00","208,00","45,00","874,00","226,00","339,00","562,00","160,00","471,00","9,00","2,00","1,00","1,00","29,00","1,00","453,00","2,00","0,00","1,00","157,00","386,00","307,00","203,00","58,00","13,00","51,00","1.024,00","50,00","2,00","192,00","535,00","358,00","42,00"
