mes,N_casos,SEX_indef,SEX_masc,SEX_fem,RA_ndec,RA_branco,RA_negro,RA_amarelo,RA_pardo,RA_indigena,EP_ign,EP_sim,EP_nao,EM_ign,EM_sim,EM_nao,EPi_ign,EPi_sim,EPi_nao,EPni__ign,EPni_sim,EPni_nao,EXO_ign,EXO_sim,EXO_nao,MO_ign,MO_sangue,MO_liquor,MO_liquor_pleural,MO_liquor_ascite,MO_liq_amniotico,MO_fluido_sangue,MO_soro_plasma,MO_outros,FE_< 1 ano,FE_1_a_4,FE_5_a_14,FE_15_a_24,FE_25_a_34,FE_35_a_44,FE_45_a_54,FE_55_a_64,FE_65+,ZR_ign,ZR_urbana,ZR_rural,ZR_periurbana,CAT_ign,CAT_sim,CAT_nao,CAT_n_aplica
janeiro,"1.211,00","0,00","282,00","929,00","74,00","526,00","98,00","21,00","491,00","1,00","110,00","403,00","698,00","187,00","332,00","692,00","180,00","359,00","672,00","211,00","39,00","961,00","210,00","332,00","669,00","100,00","396,00","5,00","1,00","0,00","3,00","19,00","2,00","685,00","4,00","0,00","0,00","168,00","390,00","393,00","181,00","62,00","13,00","44,00","1.120,00","45,00","2,00","297,00","446,00","354,00","114,00"
fevereiro,"966,00","0,00","253,00","713,00","37,00","446,00","90,00","6,00","387,00","0,00","109,00","336,00","521,00","157,00","235,00","574,00","164,00","244,00","558,00","180,00","28,00","758,00","168,00","272,00","526,00","70,00","361,00","6,00","1,00","0,00","1,00","24,00","0,00","503,00","4,00","0,00","1,00","125,00","319,00","268,00","187,00","56,00","6,00","50,00","876,00","39,00","1,00","207,00","366,00","362,00","31,00"
marco,"1.039,00","0,00","261,00","778,00","30,00","461,00","84,00","13,00","448,00","3,00","95,00","399,00","545,00","160,00","193,00","686,00","173,00","289,00","577,00","188,00","41,00","810,00","190,00","316,00","533,00","71,00","423,00","2,00","0,00","0,00","1,00","24,00","1,00","517,00","4,00","0,00","0,00","147,00","345,00","334,00","149,00","50,00","10,00","40,00","947,00","50,00","2,00","195,00","343,00","464,00","37,00"
abril,"959,00","0,00","216,00","743,00","34,00","469,00","66,00","5,00","380,00","5,00","129,00","385,00","445,00","166,00","224,00","569,00","163,00","230,00","566,00","189,00","50,00","720,00","187,00","265,00","507,00","84,00","371,00","3,00","0,00","0,00","1,00","36,00","1,00","463,00","0,00","0,00","1,00","146,00","354,00","283,00","121,00","43,00","10,00","47,00","878,00","33,00","1,00","184,00","381,00","358,00","36,00"
maio,"1.003,00","0,00","261,00","742,00","63,00","419,00","71,00","10,00","439,00","1,00","110,00","437,00","456,00","199,00","138,00","666,00","202,00","364,00","437,00","220,00","40,00","743,00","209,00","314,00","480,00","101,00","432,00","6,00","3,00","0,00","2,00","42,00","2,00","415,00","10,00","1,00","0,00","162,00","348,00","277,00","144,00","50,00","12,00","66,00","897,00","36,00","4,00","188,00","371,00","403,00","41,00"
junho,"823,00","0,00","213,00","610,00","28,00","352,00","77,00","10,00","356,00","0,00","80,00","420,00","323,00","142,00","150,00","531,00","146,00","302,00","375,00","163,00","32,00","628,00","172,00","156,00","495,00","81,00","404,00","6,00","0,00","1,00","1,00","32,00","3,00","295,00","5,00","0,00","0,00","138,00","286,00","241,00","104,00","43,00","6,00","56,00","724,00","41,00","2,00","165,00","310,00","306,00","42,00"
julho,"1.099,00","0,00","249,00","850,00","70,00","518,00","75,00","7,00","428,00","1,00","126,00","544,00","429,00","212,00","169,00","718,00","208,00","349,00","542,00","238,00","48,00","813,00","298,00","268,00","533,00","141,00","539,00","2,00","2,00","0,00","2,00","35,00","2,00","376,00","9,00","0,00","0,00","186,00","381,00","305,00","143,00","65,00","11,00","66,00","994,00","37,00","2,00","245,00","464,00","340,00","50,00"
agosto,"1.057,00","0,00","227,00","830,00","54,00","477,00","88,00","8,00","429,00","1,00","122,00","505,00","430,00","247,00","241,00","569,00","236,00","370,00","451,00","273,00","40,00","744,00","298,00","195,00","564,00","114,00","533,00","4,00","1,00","0,00","3,00","29,00","2,00","371,00","4,00","0,00","0,00","177,00","371,00","317,00","138,00","46,00","4,00","84,00","943,00","29,00","1,00","285,00","392,00","341,00","39,00"
setembro,"930,00","0,00","233,00","697,00","40,00","386,00","77,00","6,00","418,00","3,00","79,00","555,00","296,00","232,00","148,00","550,00","193,00","379,00","358,00","254,00","44,00","632,00","309,00","107,00","514,00","61,00","581,00","5,00","2,00","0,00","0,00","30,00","6,00","245,00","7,00","0,00","0,00","161,00","324,00","246,00","143,00","42,00","7,00","94,00","803,00","32,00","1,00","251,00","402,00","238,00","39,00"
outubro,"846,00","0,00","218,00","628,00","39,00","363,00","75,00","4,00","364,00","1,00","97,00","500,00","249,00","200,00","146,00","500,00","169,00","309,00","368,00","229,00","38,00","579,00","240,00","69,00","537,00","77,00","525,00","4,00","2,00","0,00","2,00","28,00","5,00","203,00","7,00","0,00","0,00","164,00","300,00","217,00","110,00","47,00","1,00","93,00","724,00","29,00","0,00","199,00","335,00","270,00","42,00"
